0|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|(null)|1|(null)|(null)
13|689898|10.32.202.30|678678_10.34.215.248|77|GigabitEthernet0/0/0.401|GigabitEthernet0/0/0.401@sjc22-22a-sword1.cisco.com|SRTG-LIVE-Overlord SSID|1000000000|135|(null)|EthernetSubInterface|1|1|1|1899-12-31|2199-12-31
14|689899|10.32.202.30|678678_10.34.215.248|78|GigabitEthernet0/0/0.402|GigabitEthernet0/0/0.402@sjc22-22a-sword1.cisco.com|Overlord branch Voice Vlan 402|1000000000|135|(null)|EthernetSubInterface|1|1|1|1899-12-31|2199-12-31
15|689900|10.32.202.30|678678_10.34.215.248|79|GigabitEthernet0/0/0.403|GigabitEthernet0/0/0.403@sjc22-22a-sword1.cisco.com|Overlord branch Data Vlan 403|1000000000|135|(null)|EthernetSubInterface|1|1|1|1899-12-31|2199-12-31
16|689912|10.32.202.30|678694_10.34.215.11|27|Vlan1|Vlan1@sjc22-22a-mpls-core1|Unknown|1000000000|53|(null)|VLANInterfaceExtended|2|2|1|1899-12-31|2199-12-31
17|689913|10.32.202.30|678694_10.34.215.11|28|EOBC0/0|EOBC0/0@sjc22-22a-mpls-core1|Unknown|100000000|53|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
18|689914|10.32.202.30|678694_10.34.215.11|29|Null0|Null0@sjc22-22a-mpls-core1|Unknown|10000000000|1|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
19|689915|10.32.202.30|678694_10.34.215.11|32|Control Plane|Control Plane@sjc22-22a-mpls-core1|Unknown|10000000000|1|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
20|689916|10.32.202.30|678694_10.34.215.11|33|unrouted VLAN 1|unrouted VLAN 1@sjc22-22a-mpls-core1|Unknown|0|53|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
21|689917|10.32.202.30|678694_10.34.215.11|34|unrouted VLAN 1002|unrouted VLAN 1002@sjc22-22a-mpls-core1|Unknown|0|53|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
22|689918|10.32.202.30|678694_10.34.215.11|35|unrouted VLAN 1004|unrouted VLAN 1004@sjc22-22a-mpls-core1|Unknown|0|53|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
23|689919|10.32.202.30|678694_10.34.215.11|36|unrouted VLAN 1005|unrouted VLAN 1005@sjc22-22a-mpls-core1|Unknown|0|53|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
24|689920|10.32.202.30|678694_10.34.215.11|37|unrouted VLAN 1003|unrouted VLAN 1003@sjc22-22a-mpls-core1|Unknown|0|53|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
25|689921|10.32.202.30|678694_10.34.215.11|38|unrouted VLAN 201|unrouted VLAN 201@sjc22-22a-mpls-core1|Unknown|0|53|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
26|689922|10.32.202.30|678694_10.34.215.11|39|unrouted VLAN 202|unrouted VLAN 202@sjc22-22a-mpls-core1|Unknown|0|53|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
27|689923|10.32.202.30|678694_10.34.215.11|1|GigabitEthernet1/1|GigabitEthernet1/1@sjc22-22a-mpls-core1|Unknown|1000000000|6|00:1f:9e:d2:28:c0|EthrntPrtclEndpntExtndd|1|2|1|1899-12-31|2199-12-31
28|689924|10.32.202.30|678694_10.34.215.11|2|GigabitEthernet1/2|GigabitEthernet1/2@sjc22-22a-mpls-core1|Unknown|1000000000|6|00:1f:9e:d2:28:c0|EthrntPrtclEndpntExtndd|1|2|1|1899-12-31|2199-12-31
29|689925|10.32.202.30|678694_10.34.215.11|3|GigabitEthernet4/1|GigabitEthernet4/1@sjc22-22a-mpls-core1|to ASR1|1000000000|6|00:1f:9e:d2:28:c0|EthrntPrtclEndpntExtndd|1|1|1|1899-12-31|2199-12-31
30|689926|10.32.202.30|678694_10.34.215.11|4|GigabitEthernet4/2|GigabitEthernet4/2@sjc22-22a-mpls-core1|connection to ASR2|1000000000|6|00:1f:9e:d2:28:c0|EthrntPrtclEndpntExtndd|1|1|1|1899-12-31|2199-12-31
31|689927|10.32.202.30|678694_10.34.215.11|5|GigabitEthernet4/3|GigabitEthernet4/3@sjc22-22a-mpls-core1|Unknown|1000000000|6|00:1f:9e:d2:28:c0|EthrntPrtclEndpntExtndd|1|2|1|1899-12-31|2199-12-31
32|689928|10.32.202.30|678694_10.34.215.11|6|GigabitEthernet4/4|GigabitEthernet4/4@sjc22-22a-mpls-core1|Unknown|1000000000|6|00:1f:9e:d2:28:c0|EthrntPrtclEndpntExtndd|1|2|1|1899-12-31|2199-12-31
33|689929|10.32.202.30|678694_10.34.215.11|7|GigabitEthernet4/5|GigabitEthernet4/5@sjc22-22a-mpls-core1|To CSR-LTE-CORE|1000000000|6|00:1f:9e:d2:28:c0|EthrntPrtclEndpntExtndd|1|1|1|1899-12-31|2199-12-31
34|689930|10.32.202.30|678694_10.34.215.11|8|GigabitEthernet4/6|GigabitEthernet4/6@sjc22-22a-mpls-core1|Unknown|1000000000|6|00:1f:9e:d2:28:c0|EthrntPrtclEndpntExtndd|1|2|1|1899-12-31|2199-12-31
35|689931|10.32.202.30|678694_10.34.215.11|9|GigabitEthernet4/7|GigabitEthernet4/7@sjc22-22a-mpls-core1|Unknown|1000000000|6|00:1f:9e:d2:28:c0|EthrntPrtclEndpntExtndd|1|2|1|1899-12-31|2199-12-31
36|689932|10.32.202.30|678694_10.34.215.11|10|GigabitEthernet4/8|GigabitEthernet4/8@sjc22-22a-mpls-core1|Unknown|1000000000|6|00:1f:9e:d2:28:c0|EthrntPrtclEndpntExtndd|1|2|1|1899-12-31|2199-12-31
37|689933|10.32.202.30|678694_10.34.215.11|11|GigabitEthernet4/9|GigabitEthernet4/9@sjc22-22a-mpls-core1|PtP link to Inet GW|1000000000|6|00:1f:9e:d2:28:c0|EthrntPrtclEndpntExtndd|1|1|1|1899-12-31|2199-12-31
38|689934|10.32.202.30|678694_10.34.215.11|12|GigabitEthernet4/10|GigabitEthernet4/10@sjc22-22a-mpls-core1|Unknown|1000000000|6|00:1f:9e:d2:28:c0|EthrntPrtclEndpntExtndd|1|2|1|1899-12-31|2199-12-31
39|689935|10.32.202.30|678694_10.34.215.11|13|GigabitEthernet4/11|GigabitEthernet4/11@sjc22-22a-mpls-core1|connection to HEB1|1000000000|6|00:1f:9e:d2:28:c0|EthrntPrtclEndpntExtndd|1|2|1|1899-12-31|2199-12-31
40|689936|10.32.202.30|678694_10.34.215.11|14|GigabitEthernet4/12|GigabitEthernet4/12@sjc22-22a-mpls-core1|connection to HEB2|1000000000|6|00:1f:9e:d2:28:c0|EthrntPrtclEndpntExtndd|1|1|1|1899-12-31|2199-12-31
41|689937|10.32.202.30|678694_10.34.215.11|15|GigabitEthernet4/13|GigabitEthernet4/13@sjc22-22a-mpls-core1|conneciton to Overlord1|1000000000|6|00:1f:9e:d2:28:c0|EthrntPrtclEndpntExtndd|1|1|1|1899-12-31|2199-12-31
42|689938|10.32.202.30|678694_10.34.215.11|16|GigabitEthernet4/14|GigabitEthernet4/14@sjc22-22a-mpls-core1|Unknown|1000000000|6|00:1f:9e:d2:28:c0|EthrntPrtclEndpntExtndd|1|2|1|1899-12-31|2199-12-31
43|689939|10.32.202.30|678694_10.34.215.11|17|GigabitEthernet4/15|GigabitEthernet4/15@sjc22-22a-mpls-core1|conneciton to Sword1|1000000000|6|00:1f:9e:d2:28:c0|EthrntPrtclEndpntExtndd|1|2|1|1899-12-31|2199-12-31
44|689940|10.32.202.30|678694_10.34.215.11|18|GigabitEthernet4/16|GigabitEthernet4/16@sjc22-22a-mpls-core1|Unknown|1000000000|6|00:1f:9e:d2:28:c0|EthrntPrtclEndpntExtndd|1|2|1|1899-12-31|2199-12-31
45|689941|10.32.202.30|678694_10.34.215.11|19|GigabitEthernet4/17|GigabitEthernet4/17@sjc22-22a-mpls-core1|Unknown|1000000000|6|00:1f:9e:d2:28:c0|EthrntPrtclEndpntExtndd|1|2|1|1899-12-31|2199-12-31
46|689942|10.32.202.30|678694_10.34.215.11|20|GigabitEthernet4/18|GigabitEthernet4/18@sjc22-22a-mpls-core1|connection to CSR1|1000000000|6|00:1f:9e:d2:28:c0|EthrntPrtclEndpntExtndd|1|1|1|1899-12-31|2199-12-31
47|689943|10.32.202.30|678694_10.34.215.11|21|GigabitEthernet4/19|GigabitEthernet4/19@sjc22-22a-mpls-core1|Unknown|1000000000|6|00:1f:9e:d2:28:c0|EthrntPrtclEndpntExtndd|1|2|1|1899-12-31|2199-12-31
48|689944|10.32.202.30|678694_10.34.215.11|22|GigabitEthernet4/20|GigabitEthernet4/20@sjc22-22a-mpls-core1|Unknown|1000000000|6|00:1f:9e:d2:28:c0|EthrntPrtclEndpntExtndd|1|2|1|1899-12-31|2199-12-31
49|689945|10.32.202.30|678694_10.34.215.11|23|GigabitEthernet4/21|GigabitEthernet4/21@sjc22-22a-mpls-core1|Unknown|1000000000|6|00:1f:9e:d2:28:c0|EthrntPrtclEndpntExtndd|1|2|1|1899-12-31|2199-12-31
50|689946|10.32.202.30|678694_10.34.215.11|24|GigabitEthernet4/22|GigabitEthernet4/22@sjc22-22a-mpls-core1|Unknown|1000000000|6|00:1f:9e:d2:28:c0|EthrntPrtclEndpntExtndd|1|2|1|1899-12-31|2199-12-31
51|689947|10.32.202.30|678694_10.34.215.11|25|GigabitEthernet4/23|GigabitEthernet4/23@sjc22-22a-mpls-core1|Unknown|1000000000|6|00:1f:9e:d2:28:c0|EthrntPrtclEndpntExtndd|1|2|1|1899-12-31|2199-12-31
52|689948|10.32.202.30|678694_10.34.215.11|26|GigabitEthernet4/24|GigabitEthernet4/24@sjc22-22a-mpls-core1|Unknown|1000000000|6|00:1f:9e:d2:28:c0|EthrntPrtclEndpntExtndd|1|2|1|1899-12-31|2199-12-31
53|689949|10.32.202.30|678694_10.34.215.11|30|Loopback0|Loopback0@sjc22-22a-mpls-core1|Unknown|8000000000|24|(null)|LoopbackInterface|1|1|1|1899-12-31|2199-12-31
54|689950|10.32.202.30|678694_10.34.215.11|31|Loopback1|Loopback1@sjc22-22a-mpls-core1|Unknown|8000000000|24|(null)|LoopbackInterface|1|1|1|1899-12-31|2199-12-31
55|689963|10.32.202.30|678693_10.34.215.1|6|VoIP-Null0|VoIP-Null0@sjc22-00a-asr1.cisco.com|Unknown|10000000000|1|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
56|689964|10.32.202.30|678693_10.34.215.1|7|Null0|Null0@sjc22-00a-asr1.cisco.com|Unknown|10000000000|1|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
57|689965|10.32.202.30|678693_10.34.215.1|20|AppNav-Compress1|AppNav-Compress1@sjc22-00a-asr1.cisco.com|Unknown|10000000000|1|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
58|689966|10.32.202.30|678693_10.34.215.1|21|AppNav-UnCompress1|AppNav-UnCompress1@sjc22-00a-asr1.cisco.com|Unknown|10000000000|1|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
59|689967|10.32.202.30|678693_10.34.215.1|9|Tunnel0|Tunnel0@sjc22-00a-asr1.cisco.com|Pim Register Tunnel (Encap) for RP 4.255.254.254|100000|131|(null)|GRETunnelInterface|1|1|1|1899-12-31|2199-12-31
60|689968|10.32.202.30|678693_10.34.215.1|10|Tunnel1|Tunnel1@sjc22-00a-asr1.cisco.com|PFR auto-tunnel for VRF default|10000000|131|(null)|GRETunnelInterface|1|1|1|1899-12-31|2199-12-31
61|689969|10.32.202.30|678693_10.34.215.1|11|Tunnel2|Tunnel2@sjc22-00a-asr1.cisco.com|Unknown|10000000|131|(null)|GRETunnelInterface|1|1|1|1899-12-31|2199-12-31
62|689971|10.32.202.30|678693_10.34.215.1|30|Tunnel100|Tunnel100@sjc22-00a-asr1.cisco.com|DMVPN HUB 1 over the SP 1|200000000|131|(null)|GRETunnelInterface|1|1|1|1899-12-31|2199-12-31
63|689972|10.32.202.30|678693_10.34.215.1|8|Loopback0|Loopback0@sjc22-00a-asr1.cisco.com|Unknown|8000000000|24|(null)|LoopbackInterface|1|1|1|1899-12-31|2199-12-31
64|689973|10.32.202.30|678693_10.34.215.1|32|GigabitEthernet0/2/2.1|GigabitEthernet0/2/2.1@sjc22-00a-asr1.cisco.com|Connection to ServerFram switch2|1000000000|135|(null)|EthernetSubInterface|1|1|1|1899-12-31|2199-12-31
65|689974|10.32.202.30|678693_10.34.215.1|31|GigabitEthernet0/2/2.2|GigabitEthernet0/2/2.2@sjc22-00a-asr1.cisco.com|to ServerFarm|1000000000|135|(null)|EthernetSubInterface|1|1|1|1899-12-31|2199-12-31
66|689975|10.32.202.30|678693_10.34.215.1|34|GigabitEthernet0/2/3.1|GigabitEthernet0/2/3.1@sjc22-00a-asr1.cisco.com|Unknown|1000000000|135|(null)|EthernetSubInterface|1|1|1|1899-12-31|2199-12-31
67|689976|10.32.202.30|678693_10.34.215.1|18|GigabitEthernet0/2/3.201|GigabitEthernet0/2/3.201@sjc22-00a-asr1.cisco.com|Data VLAN for HQ Branch|1000000000|135|(null)|EthernetSubInterface|1|1|1|1899-12-31|2199-12-31
68|689977|10.32.202.30|678693_10.34.215.1|19|GigabitEthernet0/2/3.202|GigabitEthernet0/2/3.202@sjc22-00a-asr1.cisco.com|Voice VALN for HQ Branch|1000000000|135|(null)|EthernetSubInterface|1|1|1|1899-12-31|2199-12-31
69|689998|10.32.202.30|678693_10.34.215.1|1|GigabitEthernet0/0/0|GigabitEthernet0/0/0@sjc22-00a-asr1.cisco.com|sjc22-00a-gw2|100000000|6|50:3d:e5:96:7a:00|EthrntPrtclEndpntExtndd|1|1|1|1899-12-31|2199-12-31
70|689999|10.32.202.30|678693_10.34.215.1|2|GigabitEthernet0/0/1|GigabitEthernet0/0/1@sjc22-00a-asr1.cisco.com|Uplink to Edge1|1000000000|6|50:3d:e5:96:7a:01|EthrntPrtclEndpntExtndd|1|1|1|1899-12-31|2199-12-31
71|690000|10.32.202.30|678693_10.34.215.1|3|GigabitEthernet0/0/2|GigabitEthernet0/0/2@sjc22-00a-asr1.cisco.com|to MPLS CORE2|1000000000|6|50:3d:e5:96:7a:02|EthrntPrtclEndpntExtndd|1|1|1|1899-12-31|2199-12-31
72|690001|10.32.202.30|678693_10.34.215.1|4|GigabitEthernet0/0/3|GigabitEthernet0/0/3@sjc22-00a-asr1.cisco.com|to MPLS CORE1|1000000000|6|50:3d:e5:96:7a:03|EthrntPrtclEndpntExtndd|1|1|1|1899-12-31|2199-12-31
73|690002|10.32.202.30|678693_10.34.215.1|13|GigabitEthernet0/2/0|GigabitEthernet0/2/0@sjc22-00a-asr1.cisco.com|to sjc22-sdf13a-gw2|1000000000|6|50:3d:e5:96:7a:20|EthrntPrtclEndpntExtndd|2|2|1|1899-12-31|2199-12-31
74|690003|10.32.202.30|678693_10.34.215.1|14|GigabitEthernet0/2/1|GigabitEthernet0/2/1@sjc22-00a-asr1.cisco.com|Uplink to Edge2|1000000000|6|50:3d:e5:96:7a:21|EthrntPrtclEndpntExtndd|1|1|1|1899-12-31|2199-12-31
75|690004|10.32.202.30|678693_10.34.215.1|15|GigabitEthernet0/2/2|GigabitEthernet0/2/2@sjc22-00a-asr1.cisco.com|Connection to ServerFram switch2|1000000000|6|50:3d:e5:96:7a:22|EthrntPrtclEndpntExtndd|1|1|1|1899-12-31|2199-12-31
76|690005|10.32.202.30|678693_10.34.215.1|16|GigabitEthernet0/2/3|GigabitEthernet0/2/3@sjc22-00a-asr1.cisco.com|Unknown|1000000000|6|50:3d:e5:96:7a:23|EthrntPrtclEndpntExtndd|1|1|1|1899-12-31|2199-12-31
77|690006|10.32.202.30|678693_10.34.215.1|17|GigabitEthernet0/2/4|GigabitEthernet0/2/4@sjc22-00a-asr1.cisco.com|Unknown|1000000000|6|50:3d:e5:96:7a:24|EthrntPrtclEndpntExtndd|1|1|1|1899-12-31|2199-12-31
78|690007|10.32.202.30|678693_10.34.215.1|22|FastEthernet0/3/0|FastEthernet0/3/0@sjc22-00a-asr1.cisco.com|Unknown|100000000|6|50:3d:e5:96:7a:30|EthrntPrtclEndpntExtndd|2|2|1|1899-12-31|2199-12-31
79|690008|10.32.202.30|678693_10.34.215.1|23|FastEthernet0/3/1|FastEthernet0/3/1@sjc22-00a-asr1.cisco.com|Unknown|100000000|6|50:3d:e5:96:7a:31|EthrntPrtclEndpntExtndd|2|2|1|1899-12-31|2199-12-31
80|690009|10.32.202.30|678693_10.34.215.1|24|FastEthernet0/3/2|FastEthernet0/3/2@sjc22-00a-asr1.cisco.com|Unknown|100000000|6|50:3d:e5:96:7a:32|EthrntPrtclEndpntExtndd|2|2|1|1899-12-31|2199-12-31
81|690010|10.32.202.30|678693_10.34.215.1|25|FastEthernet0/3/3|FastEthernet0/3/3@sjc22-00a-asr1.cisco.com|Unknown|100000000|6|50:3d:e5:96:7a:33|EthrntPrtclEndpntExtndd|2|2|1|1899-12-31|2199-12-31
82|690011|10.32.202.30|678693_10.34.215.1|26|FastEthernet0/3/4|FastEthernet0/3/4@sjc22-00a-asr1.cisco.com|Unknown|100000000|6|50:3d:e5:96:7a:34|EthrntPrtclEndpntExtndd|2|2|1|1899-12-31|2199-12-31
83|690012|10.32.202.30|678693_10.34.215.1|27|FastEthernet0/3/5|FastEthernet0/3/5@sjc22-00a-asr1.cisco.com|Unknown|100000000|6|50:3d:e5:96:7a:35|EthrntPrtclEndpntExtndd|2|2|1|1899-12-31|2199-12-31
84|690013|10.32.202.30|678693_10.34.215.1|28|FastEthernet0/3/6|FastEthernet0/3/6@sjc22-00a-asr1.cisco.com|Unknown|100000000|6|50:3d:e5:96:7a:36|EthrntPrtclEndpntExtndd|2|2|1|1899-12-31|2199-12-31
85|690014|10.32.202.30|678693_10.34.215.1|29|FastEthernet0/3/7|FastEthernet0/3/7@sjc22-00a-asr1.cisco.com|Unknown|100000000|6|50:3d:e5:96:7a:37|EthrntPrtclEndpntExtndd|2|2|1|1899-12-31|2199-12-31
86|690015|10.32.202.30|678693_10.34.215.1|5|GigabitEthernet0|GigabitEthernet0@sjc22-00a-asr1.cisco.com|Unknown|10000000|6|50:3d:e5:96:7a:40|EthrntPrtclEndpntExtndd|2|2|1|1899-12-31|2199-12-31
87|690080|10.32.202.30|678685_10.34.215.12|27|Vlan1|Vlan1@sjc22-22a-mpls-core2|Unknown|1000000000|53|(null)|VLANInterfaceExtended|2|2|1|1899-12-31|2199-12-31
88|690081|10.32.202.30|678685_10.34.215.12|28|EOBC0/0|EOBC0/0@sjc22-22a-mpls-core2|Unknown|100000000|53|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
89|690082|10.32.202.30|678685_10.34.215.12|29|Null0|Null0@sjc22-22a-mpls-core2|Unknown|10000000000|1|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
90|690083|10.32.202.30|678685_10.34.215.12|33|Control Plane|Control Plane@sjc22-22a-mpls-core2|Unknown|10000000000|1|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
91|690084|10.32.202.30|678685_10.34.215.12|34|unrouted VLAN 1|unrouted VLAN 1@sjc22-22a-mpls-core2|Unknown|0|53|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
92|690085|10.32.202.30|678685_10.34.215.12|35|unrouted VLAN 1002|unrouted VLAN 1002@sjc22-22a-mpls-core2|Unknown|0|53|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
93|690086|10.32.202.30|678685_10.34.215.12|36|unrouted VLAN 1004|unrouted VLAN 1004@sjc22-22a-mpls-core2|Unknown|0|53|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
94|690087|10.32.202.30|678685_10.34.215.12|37|unrouted VLAN 1005|unrouted VLAN 1005@sjc22-22a-mpls-core2|Unknown|0|53|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
95|690088|10.32.202.30|678685_10.34.215.12|38|unrouted VLAN 1003|unrouted VLAN 1003@sjc22-22a-mpls-core2|Unknown|0|53|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
96|690089|10.32.202.30|678685_10.34.215.12|39|unrouted VLAN 20|unrouted VLAN 20@sjc22-22a-mpls-core2|Unknown|0|53|(null)|IntrfcPrtclEndpnt|1|1|1|1899-12-31|2199-12-31
97|690090|10.32.202.30|678685_10.34.215.12|1|GigabitEthernet1/1|GigabitEthernet1/1@sjc22-22a-mpls-core2|Unknown|1000000000|6|00:1f:9e:d2:25:00|EthrntPrtclEndpntExtndd|2|2|1|1899-12-31|2199-12-31
98|690091|10.32.202.30|678685_10.34.215.12|2|GigabitEthernet1/2|GigabitEthernet1/2@sjc22-22a-mpls-core2|Unknown|1000000000|6|00:1f:9e:d2:25:00|EthrntPrtclEndpntExtndd|1|2|1|1899-12-31|2199-12-31
99|690092|10.32.202.30|678685_10.34.215.12|3|GigabitEthernet4/1|GigabitEthernet4/1@sjc22-22a-mpls-core2|connection to ASR1|1000000000|6|00:1f:9e:d2:25:00|EthrntPrtclEndpntExtndd|1|1|1|1899-12-31|2199-12-31
100|690093|10.32.202.30|678685_10.34.215.12|4|GigabitEthernet4/2|GigabitEthernet4/2@sjc22-22a-mpls-core2|connection to ASR2|1000000000|6|00:1f:9e:d2:25:00|EthrntPrtclEndpntExtndd|1|1|1|1899-12-31|2199-12-31
101|690094|10.32.202.30|678685_10.34.215.12|5|GigabitEthernet4/3|GigabitEthernet4/3@sjc22-22a-mpls-core2|Unknown|1000000000|6|00:1f:9e:d2:25:00|EthrntPrtclEndpntExtndd|2|2|1|1899-12-31|2199-12-31
102|690095|10.32.202.30|678685_10.34.215.12|6|GigabitEthernet4/4|GigabitEthernet4/4@sjc22-22a-mpls-core2|Unknown|1000000000|6|00:1f:9e:d2:25:00|EthrntPrtclEndpntExtndd|2|2|1|1899-12-31|2199-12-31
103|690096|10.32.202.30|678685_10.34.215.12|7|GigabitEthernet4/5|GigabitEthernet4/5@sjc22-22a-mpls-core2|Unknown|1000000000|6|00:1f:9e:d2:25:00|EthrntPrtclEndpntExtndd|2|2|1|1899-12-31|2199-12-31
104|690097|10.32.202.30|678685_10.34.215.12|8|GigabitEthernet4/6|GigabitEthernet4/6@sjc22-22a-mpls-core2|Unknown|1000000000|6|00:1f:9e:d2:25:00|EthrntPrtclEndpntExtndd|2|2|1|1899-12-31|2199-12-31
105|690098|10.32.202.30|678685_10.34.215.12|9|GigabitEthernet4/7|GigabitEthernet4/7@sjc22-22a-mpls-core2|Unknown|1000000000|6|00:1f:9e:d2:25:00|EthrntPrtclEndpntExtndd|2|2|1|1899-12-31|2199-12-31
106|690099|10.32.202.30|678685_10.34.215.12|10|GigabitEthernet4/8|GigabitEthernet4/8@sjc22-22a-mpls-core2|Unknown|1000000000|6|00:1f:9e:d2:25:00|EthrntPrtclEndpntExtndd|2|2|1|1899-12-31|2199-12-31
107|690100|10.32.202.30|678685_10.34.215.12|11|GigabitEthernet4/9|GigabitEthernet4/9@sjc22-22a-mpls-core2|PtP Inet GW|1000000000|6|00:1f:9e:d2:25:00|EthrntPrtclEndpntExtndd|1|1|1|1899-12-31|2199-12-31
108|690101|10.32.202.30|678685_10.34.215.12|12|GigabitEthernet4/10|GigabitEthernet4/10@sjc22-22a-mpls-core2|Unknown|1000000000|6|00:1f:9e:d2:25:00|EthrntPrtclEndpntExtndd|1|2|1|1899-12-31|2199-12-31
109|690102|10.32.202.30|678685_10.34.215.12|13|GigabitEthernet4/11|GigabitEthernet4/11@sjc22-22a-mpls-core2|connection to HEB1|1000000000|6|00:1f:9e:d2:25:00|EthrntPrtclEndpntExtndd|1|1|1|1899-12-31|2199-12-31
110|690103|10.32.202.30|678685_10.34.215.12|14|GigabitEthernet4/12|GigabitEthernet4/12@sjc22-22a-mpls-core2|connection to HEB2|1000000000|6|00:1f:9e:d2:25:00|EthrntPrtclEndpntExtndd|1|1|1|1899-12-31|2199-12-31
111|690104|10.32.202.30|678685_10.34.215.12|15|GigabitEthernet4/13|GigabitEthernet4/13@sjc22-22a-mpls-core2|conneciton to Overlord1|1000000000|6|00:1f:9e:d2:25:00|EthrntPrtclEndpntExtndd|1|2|1|1899-12-31|2199-12-31
