if_utilization_key|interface_type1_key|device_type1_key|prdctsrs_value|producttype_value|prdctfmly_value|softwareversion|ipaddress|devicename|ifindex|ifname|iffullname|ifdescr|ifspeed|iftype|macaddress|adminstatus|operstatus|date|time_key|day_in_month|month_number|quarter_number|year|week_number|year_for_week|hour|minute|num_samples|times_in_util_greater_than_50|times_in_util_greater_than_75|times_in_util_greater_than_90|times_out_util_greater_than_50|times_out_util_greater_than_75|times_out_util_greater_than_90|max_input_utilization|max_output_utilization|pctl95_input_utilization|pctl95_output_utilization|avg_input_utilization|avg_output_utilization|max_in_errors|max_in_discards|max_out_errors|max_out_discards|avg_in_errors|avg_in_discards|avg_out_errors|avg_out_discards|max_in_octets_rate|max_out_octets_rate|pctl95_in_octets_rate|pctl95_out_octets_rate|avg_in_octets_rate|avg_out_octets_rate
19|759|14|Cisco ASR 9000 Series Aggregation Services Routers|Cisco ASR 9006 Router|Routers|5.1.3[Default]|172.23.222.223|prime-asr9k-cluster|22|TenGigE0/2/0/1|TenGigE0/2/0/1@Chassis 1 : prime-asr9k-cluster|Link to prime-7609-1 te1/22|10000000000|6|00:24:f7:1a:0e:c9|1|1|2015-08-27|6935|27|8|3|2015|35|2015|1|55|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|11|8|11|8|10
20|648|14|Cisco ASR 9000 Series Aggregation Services Routers|Cisco ASR 9006 Router|Routers|5.1.3[Default]|172.23.222.223|prime-asr9k-cluster|51|GigabitEthernet1/1/0/1|GigabitEthernet1/1/0/1@Chassis 1 : prime-asr9k-cluster| <DO NOT DISTURB-core link to ASR9010-3 ge0/3/0/1>|1000000000|6|6c:9c:ed:25:49:f5|1|1|2015-08-27|6935|27|8|3|2015|35|2015|1|55|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|971|980|954|964|930|937
21|729|14|Cisco ASR 9000 Series Aggregation Services Routers|Cisco ASR 9006 Router|Routers|5.1.3[Default]|172.23.222.223|prime-asr9k-cluster|62|GigabitEthernet1/1/0/12|GigabitEthernet1/1/0/12@Chassis 1 : prime-asr9k-cluster| <DO NOT DISTURB-core link to ASR9010-6 Gig0/2/0/20>|1000000000|6|6c:9c:ed:25:4a:00|1|1|2015-08-27|6935|27|8|3|2015|35|2015|1|55|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1003|1007|984|990|960|966
22|725|14|Cisco ASR 9000 Series Aggregation Services Routers|Cisco ASR 9006 Router|Routers|5.1.3[Default]|172.23.222.223|prime-asr9k-cluster|66|GigabitEthernet1/1/0/16|GigabitEthernet1/1/0/16@Chassis 1 : prime-asr9k-cluster| <DO NOT DISTURB-core link to ASR9010-4 Gi0/2/0/16>|1000000000|6|6c:9c:ed:25:4a:04|1|1|2015-08-27|6935|27|8|3|2015|35|2015|1|55|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|81|54|78|54|65|52
23|610|13|Cisco 3900 Series Integrated Services Routers G2|Cisco 3945E Integrated Services Router G2|Routers|15.2(2)T|172.25.124.162|C3945-162.cisco.com|1|GigabitEthernet0/0|GigabitEthernet0/0@C3945-162.cisco.com|Unknown|1000000000|6|30:e4:db:48:9a:00|1|1|2015-08-27|6935|27|8|3|2015|35|2015|1|55|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|73|110|72|106|66|88
24|612|13|Cisco 3900 Series Integrated Services Routers G2|Cisco 3945E Integrated Services Router G2|Routers|15.2(2)T|172.25.124.162|C3945-162.cisco.com|10|GigabitEthernet0/2.1|GigabitEthernet0/2.1@C3945-162.cisco.com|Unknown|1000000000|135||1|1|2015-08-27|6935|27|8|3|2015|35|2015|1|55|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|8|10|8|9|7
25|358|4|Cisco ASR 900 Series Aggregation Services Routers|Cisco ASR 903 Router|Routers|15.4(3)S2|10.114.8.5|Cisco_10.114.8.5|3|GigabitEthernet0/5/1|GigabitEthernet0/5/1@Cisco_10.114.8.5|Unknown|1000000000|6|1c:1d:86:8d:0e:d1|1|1|2015-08-27|10622|27|8|3|2015|35|2015|2|57|12|0|0|0|0|0|0|0|0|0|0|0|0|37|28|64|54|18|15|33|29|0|0|0|0|0|0
26|369|5|Cisco ASR 900 Series Aggregation Services Routers|Cisco ASR 903 Router|Routers|15.4(3)S2|10.114.8.6|Cisco_10.114.8.6|3|GigabitEthernet0/5/1|GigabitEthernet0/5/1@Cisco_10.114.8.6|Unknown|1000000000|6|1c:1d:86:8d:0e:d1|1|1|2015-08-27|10622|27|8|3|2015|35|2015|2|57|12|0|0|0|0|0|0|0|0|0|0|0|0|37|18|52|57|18|12|32|29|0|0|0|0|0|0
27|759|14|Cisco ASR 9000 Series Aggregation Services Routers|Cisco ASR 9006 Router|Routers|5.1.3[Default]|172.23.222.223|prime-asr9k-cluster|22|TenGigE0/2/0/1|TenGigE0/2/0/1@Chassis 1 : prime-asr9k-cluster|Link to prime-7609-1 te1/22|10000000000|6|00:24:f7:1a:0e:c9|1|1|2015-08-27|10622|27|8|3|2015|35|2015|2|57|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|11|8|11|8|10
28|648|14|Cisco ASR 9000 Series Aggregation Services Routers|Cisco ASR 9006 Router|Routers|5.1.3[Default]|172.23.222.223|prime-asr9k-cluster|51|GigabitEthernet1/1/0/1|GigabitEthernet1/1/0/1@Chassis 1 : prime-asr9k-cluster| <DO NOT DISTURB-core link to ASR9010-3 ge0/3/0/1>|1000000000|6|6c:9c:ed:25:49:f5|1|1|2015-08-27|10622|27|8|3|2015|35|2015|2|57|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|963|972|953|962|932|940
29|729|14|Cisco ASR 9000 Series Aggregation Services Routers|Cisco ASR 9006 Router|Routers|5.1.3[Default]|172.23.222.223|prime-asr9k-cluster|62|GigabitEthernet1/1/0/12|GigabitEthernet1/1/0/12@Chassis 1 : prime-asr9k-cluster| <DO NOT DISTURB-core link to ASR9010-6 Gig0/2/0/20>|1000000000|6|6c:9c:ed:25:4a:00|1|1|2015-08-27|10622|27|8|3|2015|35|2015|2|57|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|991|998|988|992|966|970
30|725|14|Cisco ASR 9000 Series Aggregation Services Routers|Cisco ASR 9006 Router|Routers|5.1.3[Default]|172.23.222.223|prime-asr9k-cluster|66|GigabitEthernet1/1/0/16|GigabitEthernet1/1/0/16@Chassis 1 : prime-asr9k-cluster| <DO NOT DISTURB-core link to ASR9010-4 Gi0/2/0/16>|1000000000|6|6c:9c:ed:25:4a:04|1|1|2015-08-27|10622|27|8|3|2015|35|2015|2|57|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|74|55|74|54|66|52
31|610|13|Cisco 3900 Series Integrated Services Routers G2|Cisco 3945E Integrated Services Router G2|Routers|15.2(2)T|172.25.124.162|C3945-162.cisco.com|1|GigabitEthernet0/0|GigabitEthernet0/0@C3945-162.cisco.com|Unknown|1000000000|6|30:e4:db:48:9a:00|1|1|2015-08-27|10622|27|8|3|2015|35|2015|2|57|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|73|99|72|99|65|88
32|612|13|Cisco 3900 Series Integrated Services Routers G2|Cisco 3945E Integrated Services Router G2|Routers|15.2(2)T|172.25.124.162|C3945-162.cisco.com|10|GigabitEthernet0/2.1|GigabitEthernet0/2.1@C3945-162.cisco.com|Unknown|1000000000|135||1|1|2015-08-27|10622|27|8|3|2015|35|2015|2|57|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|8|10|8|9|7
33|358|4|Cisco ASR 900 Series Aggregation Services Routers|Cisco ASR 903 Router|Routers|15.4(3)S2|10.114.8.5|Cisco_10.114.8.5|3|GigabitEthernet0/5/1|GigabitEthernet0/5/1@Cisco_10.114.8.5|Unknown|1000000000|6|1c:1d:86:8d:0e:d1|1|1|2015-08-27|14277|27|8|3|2015|35|2015|3|57|12|0|0|0|0|0|0|0|0|0|0|0|0|33|28|56|54|17|18|35|30|0|0|0|0|0|0
34|369|5|Cisco ASR 900 Series Aggregation Services Routers|Cisco ASR 903 Router|Routers|15.4(3)S2|10.114.8.6|Cisco_10.114.8.6|3|GigabitEthernet0/5/1|GigabitEthernet0/5/1@Cisco_10.114.8.6|Unknown|1000000000|6|1c:1d:86:8d:0e:d1|1|1|2015-08-27|14277|27|8|3|2015|35|2015|3|57|12|0|0|0|0|0|0|0|0|0|0|0|0|28|27|48|52|15|19|25|39|0|0|0|0|0|0
35|759|14|Cisco ASR 9000 Series Aggregation Services Routers|Cisco ASR 9006 Router|Routers|5.1.3[Default]|172.23.222.223|prime-asr9k-cluster|22|TenGigE0/2/0/1|TenGigE0/2/0/1@Chassis 1 : prime-asr9k-cluster|Link to prime-7609-1 te1/22|10000000000|6|00:24:f7:1a:0e:c9|1|1|2015-08-27|14277|27|8|3|2015|35|2015|3|57|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|11|8|11|8|10
36|648|14|Cisco ASR 9000 Series Aggregation Services Routers|Cisco ASR 9006 Router|Routers|5.1.3[Default]|172.23.222.223|prime-asr9k-cluster|51|GigabitEthernet1/1/0/1|GigabitEthernet1/1/0/1@Chassis 1 : prime-asr9k-cluster| <DO NOT DISTURB-core link to ASR9010-3 ge0/3/0/1>|1000000000|6|6c:9c:ed:25:49:f5|1|1|2015-08-27|14277|27|8|3|2015|35|2015|3|57|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|976|986|968|977|930|938
37|729|14|Cisco ASR 9000 Series Aggregation Services Routers|Cisco ASR 9006 Router|Routers|5.1.3[Default]|172.23.222.223|prime-asr9k-cluster|62|GigabitEthernet1/1/0/12|GigabitEthernet1/1/0/12@Chassis 1 : prime-asr9k-cluster| <DO NOT DISTURB-core link to ASR9010-6 Gig0/2/0/20>|1000000000|6|6c:9c:ed:25:4a:00|1|1|2015-08-27|14277|27|8|3|2015|35|2015|3|57|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1011|1011|991|993|963|967
38|725|14|Cisco ASR 9000 Series Aggregation Services Routers|Cisco ASR 9006 Router|Routers|5.1.3[Default]|172.23.222.223|prime-asr9k-cluster|66|GigabitEthernet1/1/0/16|GigabitEthernet1/1/0/16@Chassis 1 : prime-asr9k-cluster| <DO NOT DISTURB-core link to ASR9010-4 Gi0/2/0/16>|1000000000|6|6c:9c:ed:25:4a:04|1|1|2015-08-27|14277|27|8|3|2015|35|2015|3|57|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|88|56|81|55|65|52
39|610|13|Cisco 3900 Series Integrated Services Routers G2|Cisco 3945E Integrated Services Router G2|Routers|15.2(2)T|172.25.124.162|C3945-162.cisco.com|1|GigabitEthernet0/0|GigabitEthernet0/0@C3945-162.cisco.com|Unknown|1000000000|6|30:e4:db:48:9a:00|1|1|2015-08-27|14277|27|8|3|2015|35|2015|3|57|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|554|576|291|317|107|128
40|612|13|Cisco 3900 Series Integrated Services Routers G2|Cisco 3945E Integrated Services Router G2|Routers|15.2(2)T|172.25.124.162|C3945-162.cisco.com|10|GigabitEthernet0/2.1|GigabitEthernet0/2.1@C3945-162.cisco.com|Unknown|1000000000|135||1|1|2015-08-27|14277|27|8|3|2015|35|2015|3|57|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|8|9|8|9|7
41|358|4|Cisco ASR 900 Series Aggregation Services Routers|Cisco ASR 903 Router|Routers|15.4(3)S2|10.114.8.5|Cisco_10.114.8.5|3|GigabitEthernet0/5/1|GigabitEthernet0/5/1@Cisco_10.114.8.5|Unknown|1000000000|6|1c:1d:86:8d:0e:d1|1|1|2015-08-27|17964|27|8|3|2015|35|2015|4|59|12|0|0|0|0|0|0|0|0|0|0|0|0|28|27|64|72|12|16|39|34|0|0|0|0|0|0
42|369|5|Cisco ASR 900 Series Aggregation Services Routers|Cisco ASR 903 Router|Routers|15.4(3)S2|10.114.8.6|Cisco_10.114.8.6|3|GigabitEthernet0/5/1|GigabitEthernet0/5/1@Cisco_10.114.8.6|Unknown|1000000000|6|1c:1d:86:8d:0e:d1|1|1|2015-08-27|17964|27|8|3|2015|35|2015|4|59|12|0|0|0|0|0|0|0|0|0|0|0|0|24|23|80|43|15|14|39|24|0|0|0|0|0|0
43|759|14|Cisco ASR 9000 Series Aggregation Services Routers|Cisco ASR 9006 Router|Routers|5.1.3[Default]|172.23.222.223|prime-asr9k-cluster|22|TenGigE0/2/0/1|TenGigE0/2/0/1@Chassis 1 : prime-asr9k-cluster|Link to prime-7609-1 te1/22|10000000000|6|00:24:f7:1a:0e:c9|1|1|2015-08-27|17964|27|8|3|2015|35|2015|4|59|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9|12|8|11|8|10
44|648|14|Cisco ASR 9000 Series Aggregation Services Routers|Cisco ASR 9006 Router|Routers|5.1.3[Default]|172.23.222.223|prime-asr9k-cluster|51|GigabitEthernet1/1/0/1|GigabitEthernet1/1/0/1@Chassis 1 : prime-asr9k-cluster| <DO NOT DISTURB-core link to ASR9010-3 ge0/3/0/1>|1000000000|6|6c:9c:ed:25:49:f5|1|1|2015-08-27|17964|27|8|3|2015|35|2015|4|59|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|954|962|952|961|930|938
45|729|14|Cisco ASR 9000 Series Aggregation Services Routers|Cisco ASR 9006 Router|Routers|5.1.3[Default]|172.23.222.223|prime-asr9k-cluster|62|GigabitEthernet1/1/0/12|GigabitEthernet1/1/0/12@Chassis 1 : prime-asr9k-cluster| <DO NOT DISTURB-core link to ASR9010-6 Gig0/2/0/20>|1000000000|6|6c:9c:ed:25:4a:00|1|1|2015-08-27|17964|27|8|3|2015|35|2015|4|59|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|986|987|984|986|967|969
46|725|14|Cisco ASR 9000 Series Aggregation Services Routers|Cisco ASR 9006 Router|Routers|5.1.3[Default]|172.23.222.223|prime-asr9k-cluster|66|GigabitEthernet1/1/0/16|GigabitEthernet1/1/0/16@Chassis 1 : prime-asr9k-cluster| <DO NOT DISTURB-core link to ASR9010-4 Gi0/2/0/16>|1000000000|6|6c:9c:ed:25:4a:04|1|1|2015-08-27|17964|27|8|3|2015|35|2015|4|59|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|80|57|79|55|66|52
47|610|13|Cisco 3900 Series Integrated Services Routers G2|Cisco 3945E Integrated Services Router G2|Routers|15.2(2)T|172.25.124.162|C3945-162.cisco.com|1|GigabitEthernet0/0|GigabitEthernet0/0@C3945-162.cisco.com|Unknown|1000000000|6|30:e4:db:48:9a:00|1|1|2015-08-27|17964|27|8|3|2015|35|2015|4|59|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|70|104|69|98|65|86
48|612|13|Cisco 3900 Series Integrated Services Routers G2|Cisco 3945E Integrated Services Router G2|Routers|15.2(2)T|172.25.124.162|C3945-162.cisco.com|10|GigabitEthernet0/2.1|GigabitEthernet0/2.1@C3945-162.cisco.com|Unknown|1000000000|135||1|1|2015-08-27|17964|27|8|3|2015|35|2015|4|59|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|8|9|8|9|7
49|358|4|Cisco ASR 900 Series Aggregation Services Routers|Cisco ASR 903 Router|Routers|15.4(3)S2|10.114.8.5|Cisco_10.114.8.5|3|GigabitEthernet0/5/1|GigabitEthernet0/5/1@Cisco_10.114.8.5|Unknown|1000000000|6|1c:1d:86:8d:0e:d1|1|1|2015-08-27|21304|27|8|3|2015|35|2015|5|55|11|0|0|0|0|0|0|0|0|0|0|0|0|24|28|49|60|13|17|31|30|0|0|0|0|0|0
50|369|5|Cisco ASR 900 Series Aggregation Services Routers|Cisco ASR 903 Router|Routers|15.4(3)S2|10.114.8.6|Cisco_10.114.8.6|3|GigabitEthernet0/5/1|GigabitEthernet0/5/1@Cisco_10.114.8.6|Unknown|1000000000|6|1c:1d:86:8d:0e:d1|1|1|2015-08-27|21304|27|8|3|2015|35|2015|5|55|11|0|0|0|0|0|0|0|0|0|0|0|0|31|26|66|40|17|16|38|27|0|0|0|0|0|0
51|759|14|Cisco ASR 9000 Series Aggregation Services Routers|Cisco ASR 9006 Router|Routers|5.1.3[Default]|172.23.222.223|prime-asr9k-cluster|22|TenGigE0/2/0/1|TenGigE0/2/0/1@Chassis 1 : prime-asr9k-cluster|Link to prime-7609-1 te1/22|10000000000|6|00:24:f7:1a:0e:c9|1|1|2015-08-27|21304|27|8|3|2015|35|2015|5|55|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|11|8|11|8|10
52|648|14|Cisco ASR 9000 Series Aggregation Services Routers|Cisco ASR 9006 Router|Routers|5.1.3[Default]|172.23.222.223|prime-asr9k-cluster|51|GigabitEthernet1/1/0/1|GigabitEthernet1/1/0/1@Chassis 1 : prime-asr9k-cluster| <DO NOT DISTURB-core link to ASR9010-3 ge0/3/0/1>|1000000000|6|6c:9c:ed:25:49:f5|1|1|2015-08-27|21304|27|8|3|2015|35|2015|5|55|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|971|979|956|964|930|938
53|729|14|Cisco ASR 9000 Series Aggregation Services Routers|Cisco ASR 9006 Router|Routers|5.1.3[Default]|172.23.222.223|prime-asr9k-cluster|62|GigabitEthernet1/1/0/12|GigabitEthernet1/1/0/12@Chassis 1 : prime-asr9k-cluster| <DO NOT DISTURB-core link to ASR9010-6 Gig0/2/0/20>|1000000000|6|6c:9c:ed:25:4a:00|1|1|2015-08-27|21304|27|8|3|2015|35|2015|5|55|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1003|1006|992|994|964|967
54|725|14|Cisco ASR 9000 Series Aggregation Services Routers|Cisco ASR 9006 Router|Routers|5.1.3[Default]|172.23.222.223|prime-asr9k-cluster|66|GigabitEthernet1/1/0/16|GigabitEthernet1/1/0/16@Chassis 1 : prime-asr9k-cluster| <DO NOT DISTURB-core link to ASR9010-4 Gi0/2/0/16>|1000000000|6|6c:9c:ed:25:4a:04|1|1|2015-08-27|21304|27|8|3|2015|35|2015|5|55|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|90|55|88|54|65|52
55|610|13|Cisco 3900 Series Integrated Services Routers G2|Cisco 3945E Integrated Services Router G2|Routers|15.2(2)T|172.25.124.162|C3945-162.cisco.com|1|GigabitEthernet0/0|GigabitEthernet0/0@C3945-162.cisco.com|Unknown|1000000000|6|30:e4:db:48:9a:00|1|1|2015-08-27|21304|27|8|3|2015|35|2015|5|55|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|70|104|70|102|66|88
56|612|13|Cisco 3900 Series Integrated Services Routers G2|Cisco 3945E Integrated Services Router G2|Routers|15.2(2)T|172.25.124.162|C3945-162.cisco.com|10|GigabitEthernet0/2.1|GigabitEthernet0/2.1@C3945-162.cisco.com|Unknown|1000000000|135||1|1|2015-08-27|21304|27|8|3|2015|35|2015|5|55|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|8|10|8|9|7
57|358|4|Cisco ASR 900 Series Aggregation Services Routers|Cisco ASR 903 Router|Routers|15.4(3)S2|10.114.8.5|Cisco_10.114.8.5|3|GigabitEthernet0/5/1|GigabitEthernet0/5/1@Cisco_10.114.8.5|Unknown|1000000000|6|1c:1d:86:8d:0e:d1|1|1|2015-08-27|24934|27|8|3|2015|35|2015|6|55|12|0|0|0|0|0|0|0|0|0|0|0|0|36|28|70|83|20|12|38|34|0|0|0|0|0|0
58|369|5|Cisco ASR 900 Series Aggregation Services Routers|Cisco ASR 903 Router|Routers|15.4(3)S2|10.114.8.6|Cisco_10.114.8.6|3|GigabitEthernet0/5/1|GigabitEthernet0/5/1@Cisco_10.114.8.6|Unknown|1000000000|6|1c:1d:86:8d:0e:d1|1|1|2015-08-27|24934|27|8|3|2015|35|2015|6|55|12|0|0|0|0|0|0|0|0|0|0|0|0|30|27|74|42|15|15|39|30|0|0|0|0|0|0
59|759|14|Cisco ASR 9000 Series Aggregation Services Routers|Cisco ASR 9006 Router|Routers|5.1.3[Default]|172.23.222.223|prime-asr9k-cluster|22|TenGigE0/2/0/1|TenGigE0/2/0/1@Chassis 1 : prime-asr9k-cluster|Link to prime-7609-1 te1/22|10000000000|6|00:24:f7:1a:0e:c9|1|1|2015-08-27|24934|27|8|3|2015|35|2015|6|55|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|12|8|12|8|10
60|648|14|Cisco ASR 9000 Series Aggregation Services Routers|Cisco ASR 9006 Router|Routers|5.1.3[Default]|172.23.222.223|prime-asr9k-cluster|51|GigabitEthernet1/1/0/1|GigabitEthernet1/1/0/1@Chassis 1 : prime-asr9k-cluster| <DO NOT DISTURB-core link to ASR9010-3 ge0/3/0/1>|1000000000|6|6c:9c:ed:25:49:f5|1|1|2015-08-27|24934|27|8|3|2015|35|2015|6|55|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|970|979|969|978|928|936
